Statistik från Skolverket, https://www.skolverket.se

Grundskola - Antal elever per årskurs
Valt läsår: 2023/24

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Elever, förskoleklass;Andel (%) flickor, förskoleklass;Elever, årskurs 1-9;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;
Ahlafors Fria skola;71387206;Ale;1440;Enskild;Ahlafors Fria Skola Ekonomisk förening;7696142343;22;..;261;47,5;4,6;70,1;22;25;22;23;25;47;25;24;48;
Alboskolan;72616393;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;195;49,7;9,2;57,4;.;.;.;65;65;65;.;.;.;
Aroseniusskolan;48529699;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;468;46,8;16,7;61,5;.;.;.;.;.;.;162;183;123;
Bohusskolan;11043800;Ale;1440;Kommunal;Ale kommun;2120001439;45;48,9;561;50,8;38,3;66,3;38;55;51;43;44;51;98;84;97;
Da Vinciskolan 1;71893438;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;243;50,2;29,6;65,0;.;.;.;.;.;.;91;80;72;
Da Vinciskolan 2;71729095;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;219;53,0;21,0;61,6;.;.;.;.;.;.;73;68;78;
Garnvindeskolan;97093265;Ale;1440;Kommunal;Ale kommun;2120001439;66;56,1;198;47,5;15,7;55,6;60;70;68;.;.;.;.;.;.;
Himlaskolan;54807007;Ale;1440;Kommunal;Ale kommun;2120001439;25;44,0;137;43,8;13,1;57,7;26;36;20;23;24;8;.;.;.;
Kronaskolan 4-6;58798062;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;311;48,2;16,4;72,0;.;.;.;114;98;99;.;.;.;
Kronaskolan F-3 KR;50312931;Ale;1440;Kommunal;Ale kommun;2120001439;73;42,5;192;43,8;21,4;73,4;66;72;54;.;.;.;.;.;.;
Kronaskolan F-3 MA;69611652;Ale;1440;Kommunal;Ale kommun;2120001439;68;35,3;177;46,9;14,1;77,4;68;63;46;.;.;.;.;.;.;
Kyrkbyskolan;16944234;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;321;45,5;36,1;67,3;.;.;.;119;104;98;.;.;.;
Nolskolan;12789480;Ale;1440;Kommunal;Ale kommun;2120001439;42;47,6;286;50,7;28,7;63,3;48;41;43;53;45;56;.;.;.;
Nödingeskolan;22564015;Ale;1440;Kommunal;Ale kommun;2120001439;82;53,7;277;48,0;31,4;67,9;91;83;103;.;.;.;.;.;.;
Surteskolan;81439850;Ale;1440;Kommunal;Ale kommun;2120001439;36;52,8;225;50,2;42,2;68,4;39;29;45;36;37;39;.;.;.;
Gustav Adolfsskolan;74064638;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;.;.;342;51,2;8,2;72,8;.;.;.;.;.;.;111;114;117;
Hemsjö Kyrkskola;63452058;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;18;55,6;143;45,5;..;62,9;22;28;26;26;22;19;.;.;.;
Ingaredsskolan;49115714;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;62;53,2;239;45,2;7,1;82,0;39;49;41;37;49;24;.;.;.;
Kullingsbergsskolan;78832157;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;40;45,0;276;47,1;10,9;77,2;54;48;51;37;38;48;.;.;.;
Lendahlsskolan F-6;34338735;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;25;64,0;229;48,9;31,0;55,0;51;36;43;24;40;35;.;.;.;
Långareds skola;28639614;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;22;..;99;50,5;..;66,7;17;12;18;14;24;14;.;.;.;
Magra skola;78273632;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;8;..;49;46,9;..;44,9;9;5;11;11;6;7;.;.;.;
Montessoriskolan Globen;87109819;Alingsås;1489;Enskild;Alingsås Montessori Skola Globen;8640009794;33;45,5;375;48,3;10,7;84,3;33;31;35;33;33;53;54;50;53;
Nolbyskolan;46546067;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;52;59,6;296;49,3;28,7;63,2;49;40;50;43;47;67;.;.;.;
Nolhagaskolan;84581048;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;.;.;434;50,2;19,8;70,7;.;.;.;.;.;.;150;146;138;
Noltorpsskolan 4-6;87146353;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;.;.;202;45,0;29,7;60,9;.;.;.;74;78;50;.;.;.;
Noltorpsskolan F-3;86435318;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;66;43,9;221;46,2;29,0;63,3;75;71;75;.;.;.;.;.;.;
Sollebrunns skola 7-9;40731205;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;.;.;169;47,9;8,3;54,4;.;.;.;.;.;.;55;55;59;
Sollebrunns skola F-6;81880420;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;20;70,0;159;44,7;16,4;47,2;24;27;31;24;28;25;.;.;.;
Stadsskogenskolan;38957274;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;39;61,5;309;47,2;12,3;78,6;53;52;52;48;50;54;.;.;.;
Stora Mellby skola;90924483;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;16;..;81;50,6;..;56,8;13;20;7;11;16;14;.;.;.;
Vittra Gerdsken;98272016;Alingsås;1489;Enskild;Vittraskolorna AB;5564586716;43;58,1;447;51,9;12,3;70,2;44;44;43;47;46;48;60;62;53;
Västra Bodarna skola;71895385;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;30;43,3;126;52,4;..;84,9;27;19;19;20;26;15;.;.;.;
Ängaboskolan;57136802;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;51;60,8;299;47,2;18,1;65,2;48;49;50;47;46;59;.;.;.;
Ödenäs skola;70153094;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;8;..;41;58,5;..;75,6;5;11;3;8;7;7;.;.;.;
Östlyckeskolan 7-9;63399058;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;.;.;435;46,7;22,3;56,6;.;.;.;.;.;.;159;132;144;
Friskolan Kronobergshed;79378495;Alvesta;0764;Enskild;Kronobergsheds Skola Ek. för.;7696124531;4;..;43;39,5;..;53,5;2;11;8;3;12;7;.;.;.;
Grönkullaskolan;66644840;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;63;39,7;359;42,1;76,0;37,6;72;42;59;64;57;65;.;.;.;
Hagaskolan;67183147;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;.;.;439;49,2;47,6;49,7;.;.;.;.;.;.;138;149;152;
Hjortsbergaskolan;36322706;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;14;..;84;32,1;..;61,9;19;14;16;6;17;12;.;.;.;
Mohedaskolan;69699568;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;37;43,2;406;51,5;13,1;57,1;44;58;45;45;35;44;42;39;54;
Prästängsskolan;59234401;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;62;45,2;369;44,2;28,2;56,9;85;53;60;68;56;47;.;.;.;
Skatelövsskolan;55218290;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;37;35,1;148;49,3;..;58,1;30;23;25;32;19;19;.;.;.;
