itemnr_old,item_old,itemnr_new,item_new
f66a,"Jag gör tvärt emot vad människor säger åt mig att göra, bara för att göra dem arga.",F67a,"Jag gör tvärt emot vad människor säger åt mig att göra, bara för att göra dem arga."
f66b,"Jag gillar att göra spännande och farliga saker, även om det är förbjudet.",F67b,"Jag gillar att göra spännande och farliga saker, även om det är förbjudet."
f66c,"Jag tål inte att bli provocerad, då kan jag slå till någon.",F67c,Jag tål inte att bli provocerad – då kan jag slå till någon.
f66d,Jag ljuger för att få fördelar eller slippa göra jobbiga saker.,F67d,Jag ljuger för att få fördelar eller slippa göra jobbiga saker.
f66e,Om jag blir arg på någon drar jag mig inte för att skada honom/henne.,NA,NA
f66f,Jag är ofta ute på natten tillsammans med kamrater.,NA,NA
f66g,Jag struntar i regler som hindrar mig från att göra det jag vill göra.,F67g,Jag struntar i regler som hindrar mig från att göra det jag vill göra.
f66h,Jag tycker det är roligt att lösa svåra problem och uppgifter.,F67h,Jag tycker det är roligt att lösa svåra problem och uppgifter.
f66i,Jag ser mig själv som en ganska impulsiv person.,F67i,Jag ser mig själv som en ganska impulsiv person.
f66j,Jag vill gärna vara där det händer spännande saker.,F67j,Jag vill gärna vara där det händer spännande saker.
f66k,Jag kan få andra att tro på nästan vad som helst.,F67k,Jag kan få andra att tro på nästan vad som helst.
f66l,Jag blir ofta osäker när jag ställs inför nya uppgifter.,F67l,Jag blir ofta osäker när jag ställs inför nya uppgifter.
f66m,Jag tänker oftast efter innan jag talar eller gör saker.,F67m,Jag tänker oftast efter innan jag talar eller gör saker.
f66n,Jag gör dumma saker även om de är lite farliga.,F67n,Jag gör dumma saker även om de är lite farliga.
f66o,Jag vill gärna se hur långt jag kan gå innan folk får nog.,F67o,Jag vill gärna se hur långt jag kan gå innan folk får nog.
f66p,Det är fel att fuska i skolan.,F67p,Det är fel att fuska i skolan.
f66q,"Jag tycker att det är OK att ta något utan att fråga, om man inte blir upptäckt.",F67q,"Jag tycker att det är OK att ta något utan att fråga, om man inte blir upptäckt."
f66r,Det händer att jag gör saker utan att tänka mig för.,F67r,Det händer att jag gör saker utan att tänka mig för.
f66s,Om jag ställs inför en svår uppgift så väljer jag att göra något annat.,F67s,Om jag ställs inför en svår uppgift så väljer jag att göra något annat.
