"itemnr_old","item_old","itemnr_new","item_new"
"F100","Om du går ut ensam sent en kväll i området där du bor, känner du dig då...","F102","Om du går ut ensam sent en kväll i området där du bor, känner du dig då…"
"f101a","Vandalism (klotter, olaglig graffiti, förstörelse) är vanligt i bostadsområdet.","F103a","Vandalism (klotter, olaglig graffiti, förstörelse) är vanligt i bostadsområdet."
"f101b","Om en vuxen såg mig göra något olagligt i mitt bostadsområde skulle nog mina föräldrar få reda på det.","F103b","Om en vuxen såg mig göra något olagligt i mitt bostadsområde skulle nog mina föräldrar/vårdnadshavare få reda på det."
"f101c","Vuxna skulle ingripa om någon helt öppet försökte sälja narkotika till ungdomar.","F103c","Vuxna skulle ingripa om någon helt öppet försökte sälja narkotika till ungdomar."
"f101d","Det finns personer som säljer narkotika i bostadsområdet.","F103d","Det finns personer som säljer narkotika i bostadsområdet."
"f101e","På vardagskvällar finns det många berusade utomhus i bostadsområdet.","F103e","På vardagskvällar finns det många berusade utomhus i bostadsområdet."
"f101f","Så fort jag kan vill jag flytta till ett annat bostadsområde.","F103f","Så fort jag kan vill jag flytta till ett annat bostadsområde."
"f101g","Det är ovanligt med våldsbrott (misshandel, rån, våldtäkt) i det här bostadsområdet.","F103g","Det är ovanligt med våldsbrott (misshandel, rån, våldtäkt) i det här bostadsområdet."
"f101h","Vuxna skulle ingripa om det blev ett slagsmål framför mitt hus.","F103h","Vuxna skulle ingripa om det blev ett slagsmål framför mitt hus."
"f101i","Om jag blev rånad på en allmän plats i bostadsområdet skulle vuxna ingripa.","F103i","Om jag blev rånad på en allmän plats i bostadsområdet skulle vuxna ingripa."
"f101j","Mina grannar brukar heja/hälsa på mig när vi möts.","F103j","Mina grannar brukar heja/hälsa på mig när vi möts."
"f101k","Jag trivs bra i mitt bostadsområde.","F103k","Jag trivs bra i mitt bostadsområde."
"f101l","Om jag var tvungen att flytta skulle jag sakna bostadsområdet jag bor i.","F103l","Om jag var tvungen att flytta skulle jag sakna bostadsområdet jag bor i."
"F14","Röker du?","F14","Röker du cigaretter? (Räkna inte med e-cigaretter)"
"F16","Hur gammal var du första gången du rökte?","F17","Hur gammal var du första gången du rökte?"
"F17","Får du röka för dina föräldrar?","F18","Får du röka för dina föräldrar/vårdnadshavare?"
"F18","Snusar du?","F19b","Snusar du snus med tobak?"
"F20","Hur gammal var du första gången du snusade?","F21","Hur gammal var du första gången du snusade?"
"F21","Får du snusa för dina föräldrar?","F22","Får du snusa för dina föräldrar/vårdnadshavare?"
"f22a","Använder någon i din familj tobak (röker eller snusar)?","F23a","Nej"
"f22b","NA","F23b","Mamma"
"f22c","NA","F23c","Pappa"
"f22d","NA","F23d","Syskon"
"f22e","NA","F23e","Annan person"
"f22f","NA","F23f","Vet inte"
"F34","Hur ofta dricker du vid ett och samma tillfälle alkohol motsvarande minst 18cl sprit?","F35","Hur ofta dricker du vid ett och samma tillfälle alkohol motsvarande minst: cl sprit (en halv kvarting) eller en helflaska vin eller fyra stora flaskor stark cider/alkoläsk eller fyra burkar starköl eller sex burkar folköl?"
"F35","Hur många gånger har du druckit så mycket alkohol att du känt dig berusad?","F36","Hur många gånger har du druckit så mycket alkohol att du känt dig berusad?"
"f36","Hur många gånger har du druckit så mycket alkohol att du känt dig berusad under den senaste 4-veckorsperioden?","F37","Hur många gånger har du druckit så mycket alkohol att du känt dig berusad under den senaste -veckorsperioden?"
"F37","Hur gammal var du första gången du kände dig berusad?","F38","Hur gammal var du första gången du kände dig berusad?"
"F40","Får du dricka alkohol för dina föräldrar?","F41","Får du dricka alkohol för dina föräldrar/vårdnadshavare?"
"F41","Har du sniffat/boffat någon gång?","F42","Har du sniffat/boffat någon gång (t.ex. använt lustgas, butangas från tändare, drivgas från sprayburkar m.m.)?"
"F44","Hur gammal var du första gången du sniffade/boffade?","F45","Hur gammal var du första gången du sniffade/boffade?"
"F45","Har du någon gång använt narkotika? (Med narkotika avses t ex hasch, marijuana, amfetamin, ecstasy, LSD, kokain, heroin och GHB)","F46","Har du någon gång använt narkotika? (Med narkotika avses t ex hasch, marijuana, amfetamin, ecstasy, LSD, kokain, heroin och GHB)"
"F47","Hur många gånger totalt har du använt hasch/marijuana?","F48","Hur många gånger totalt har du använt hasch/marijuana?"
"F48","Hur många gånger totalt har du använt annan narkotika än hasch/marijuana?","F49","Hur många gånger totalt har du använt annan narkotika än hasch/marijuana?"
"F49","Hur många gånger har du använt narkotika (cannabis eller annan narkotika) den senaste 4-veckors perioden?","F50","Hur många gånger har du använt narkotika (cannabis eller annan narkotika) den senaste -veckorsperioden?"
"F51","Hur gammal var du första gången du använde narkotika?","F52","Hur gammal var du första gången du använde narkotika?"
"f53a","Har du det senaste läsåret varit i kontakt med någon hjälpinstans p.g.a alkohol eller droger?","F54a","Nej"
"f53b","NA","F54b","Ja, beroendespecialist (Maria Ungdom, Mini-Maria eller annan öppenvårdsmottagning)"
"f53c","NA","F54c","Ja, socialtjänsten (”soc”)"
"f53d","NA","F54d","Ja, ungdomsmottagning"
"f53e","NA","F54e","Ja, sjukvård (akut, vårdcentral eller liknande)"
"f53f","NA","F54f","Ja, annat. Vad?"
